asdf_id,oco2_xco2_yearly.2015.mean,oco2_xco2_yearly.2015.max,oco2_xco2_yearly.2015.min,oco2_xco2_yearly.2017.mean,oco2_xco2_yearly.2017.max,oco2_xco2_yearly.2017.min,oco2_xco2_yearly.2018.mean,oco2_xco2_yearly.2018.max,oco2_xco2_yearly.2018.min,oco2_xco2_yearly.2016.mean,oco2_xco2_yearly.2016.max,oco2_xco2_yearly.2016.min,adm,gbid,Name,Level,adm_int,feature_id,iso,ISO_Code,gqid
33,399.322620161,399.840984192,398.944389344,404.758666822,404.854764968,404.633883198,405.724749266,406.205206588,405.222845954,402.487799889,404.160200345,400.74266324,ADM2,UGA_ADM2_1_3_3_33,SHEEMA,ADM2,2,33,UGA,UG-426,33
34,398.834773496,400.356548309,396.512908936,404.991172717,407.882049561,400.956153871,407.392377088,411.502563476,404.757716252,402.470318314,406.289425998,400.395355225,ADM2,UGA_ADM2_1_3_3_34,KITGUM,ADM2,2,34,UGA,UG-305,34
35,401.799556016,402.927135819,401.228216401,405.312345009,406.237663051,404.253821171,407.990018737,408.760173891,407.330303641,401.700349033,402.125107265,401.367630916,ADM2,UGA_ADM2_1_3_3_35,KOBOKO,ADM2,2,35,UGA,UG-319,35
36,400.741858706,402.303927335,399.03858447,404.89577115,405.565020752,403.491931916,406.345172783,407.49089915,405.310897827,404.656330805,405.518975076,403.175977434,ADM2,UGA_ADM2_1_3_3_36,KOLE,ADM2,2,36,UGA,UG-325,36
37,397.967167521,399.237216708,396.81972758,403.759764422,405.184880146,402.720538869,408.215597437,408.733047485,406.872986643,402.331957674,403.354299927,400.824908447,ADM2,UGA_ADM2_1_3_3_37,KOTIDO,ADM2,2,37,UGA,UG-306,37
38,398.842219021,399.174351241,398.679268973,404.189822854,404.794604687,403.603912353,405.85678959,407.186187744,405.464178576,402.108850097,403.877349854,400.492858887,ADM2,UGA_ADM2_1_3_3_38,KISORO,ADM2,2,38,UGA,UG-408,38
39,398.475614728,399.338423229,397.68208095,405.642142561,407.107827759,404.107696533,407.169308947,407.77565918,407.053283691,403.840880595,407.682128906,400.8828125,ADM2,UGA_ADM2_1_3_3_39,KWEEN,ADM2,2,39,UGA,UG-228,39
40,399.761589183,403.019229126,397.459448242,406.257389612,408.047064887,404.445683798,407.000704077,411.502563476,405.407323201,404.592311959,407.528839111,400.395355225,ADM2,UGA_ADM2_1_3_3_40,LAMWO,ADM2,2,40,UGA,UG-326,40
41,399.644589783,401.462548245,398.103989792,404.532863235,405.888357544,403.111648682,406.567769944,407.859889104,404.99597168,404.685361643,405.464447021,403.444982853,ADM2,UGA_ADM2_1_3_3_41,LIRA,ADM2,2,41,UGA,UG-326,41
42,399.427133299,400.505599975,398.006896973,406.16919938,407.944934082,405.186519369,407.71669196,408.88583374,407.308821734,403.465597685,403.981391124,403.189134927,ADM2,UGA_ADM2_1_3_3_42,LUUKA,ADM2,2,42,UGA,UG-229,42
